1010|最快速的处理，用于测试速度|CYH Demo|1|Y
1011|用于测试BCCSHM速度|CYH Demo|1|Y
1012|用于测试BUSHM速度|CYH Demo|1|N
1013|用于测试BCCSHM和多包返回测试|CYH Demo|1|Y
1014|读取指定共享内存中的数据|CYH Demo|1|Y
1015|读取共享内存中的数据返回给客户端，将请求包中的值设置到共享内存中|CYH Demo|1|Y
240157|圈存转账|wj|1|Y|
240001|qczz|wj|1|Y|
240002|qczz|wj|1|Y|
240003|qczz|wj|1|Y|
240004|qczz|wj|1|Y|
240005|qczz|wj|1|Y|
240006|qczz|wj|1|Y|
240007|qczz|wj|1|Y|
240008|qczz|wj|1|Y|
240009|qczz|wj|1|Y|
240010|qczz|wj|1|Y|
240011|qczz|wj|1|Y|
700000|电话查询系统登录|wj|1|Y|
700001|电话余额查询|wj|1|Y|
700002|账户交易明细查询|wj|1|Y|
800000|xxx|wj|1|Y|
800001|xxx|wj|1|Y|
800202|xxx|wj|1|Y|
800203|xxx|wj|1|Y|
800701|xxx|wj|1|Y|
800703|xxx|wj|1|Y|
800704|xxx|wj|1|Y|
800742|xxx|wj|1|Y|
800751|xxx|wj|1|Y|
800761|xxx|wj|1|Y|
800772|xxx|wj|1|Y|
800782|xxx|wj|1|Y|
800783|xxx|wj|1|Y|
820001|子系统注册|hxz|1|Y|
820002|子系统修改|hxz|1|Y|
820003|子系统删除|hxz|1|Y|
820004|子系统关键字查询|hxz|1|Y|
820005|子系统非关键字查询|hxz|1|Y|
820101|设备注册|hxz|1|Y|
820102|设备修改|hxz|1|Y|
820103|设备删除|hxz|1|Y|
820104|设备关键字查询|hxz|1|Y|
820105|设备非关键字查询|hxz|1|Y|
820106|设备非关键字查询|hxz|1|Y|
820108|设备非关键字查询|hxz|1|Y|
820111|区域表注册|hxz|1|Y|
820112|区域表修改|hxz|1|Y|
820113|区域表删除|hxz|1|Y|
820114|区域表关键字查询|hxz|1|Y|
820121|设备物理信息表注册|hxz|1|Y|
820122|设备物理信息表修改|hxz|1|Y|
820123|设备物理信息表删除|hxz|1|Y|
820124|设备物理信息表关键字查询|hxz|1|Y|
820131|卡物理结构信息表注册|hxz|1|Y|
820132|卡物理结构信息表修改|hxz|1|Y|
820133|卡物理结构信息表删除|hxz|1|Y|
820134|卡物理结构信息表关键字查询|hxz|1|Y|
820141|卡物理结构信息表注册|hxz|1|Y|
820142|卡物理结构信息表修改|hxz|1|Y|
820143|卡物理结构信息表删除|hxz|1|Y|
820144|卡物理结构信息表关键字查询|hxz|1|Y|
820151|卡物理结构信息表注册|hxz|1|Y|
820152|卡物理结构信息表修改|hxz|1|Y|
820153|卡物理结构信息表删除|hxz|1|Y|
820154|卡物理结构信息表关键字查询|hxz|1|Y|
820301|操作员增删改|hxz|1|Y|
820302|操作员查询|hxz|1|Y|
820311|权限模板增删改|hxz|1|Y|
820312|权限模板查询|hxz|1|Y|
820321|操作员登录站点增加、删除|hxz|1|Y|
820322|操作员登录站点查询|hxz|1|Y|
820331|操作员密码修改|hxz|1|Y|
820332|操作员密码重置|hxz|1|Y|
820341|站点信息增删改|hxz|1|Y|
820342|站点信息查询|hxz|1|Y|
820351|操作员登录|hxz|1|Y|
820352|操作员登出|hxz|1|Y|
820353|操作员登出|hxz|1|Y|
820354|操作员组管理|tc|1|Y|
820355|操作员分组管理|tc|1|Y|
820356|冲正交易配置|tc|1|Y|
820401|全局参数注册|hxz|1|Y|
820402|全局参数修改|hxz|1|Y|
820403|全局参数删除|hxz|1|Y|
820404|全局参数关键字查询|hxz|1|Y|
820405|全局参数非关键字查询|hxz|1|Y|
820501|登陆时数据字典查询|hxz|1|Y|
820502|登陆时读取数据字典条|hxz|1|Y|
820511|普通数据字典查询|hxz|1|Y|
820512|数据字典增加、修改|hxz|1|Y|
820516|读取数据字典条目|hxz|1|Y|
820521|取功能列表|hxz|1|Y|
820522|取系统日期|hxz|1|Y|
820601|客户信息同步|hxz|1|Y|
820704|黑名单查询|wj|1|Y|
820705|黑名单查询|hxz|1|Y|
841003|xxx|wj|1|Y|
841004|xxx|wj|1|Y|
841005|xxx|wj|1|Y|
841006|xxx|wj|1|Y|
841007|数据归档|hxz|1|Y|
841303|xxx|wj|1|Y|
841304|xxx|wj|1|Y|
841305|xxx|wj|1|Y|
841306|xxx|wj|1|Y|
841307|数据归档|hxz|1|Y|
841601|客户信息增加|wj|1|Y|
841602|修改客户状态|wj|1|Y|
841603|客户信息修改|wj|1|Y|
841604|客户信息主键查询|wj|1|Y|
841605|客户信息查询|hxz|1|Y|
841606|客户信息导入|wj|1|Y|
841607|照片信息导入|wj|1|Y|
841608|照片信息增删改|wj|1|Y|
841609|批量生成临时客户|wj|1|Y|
841610|身份禁用|wj|1|Y|
841611|导入客户信息查询|wj|1|Y|
841612|导入客户信息修改|wj|1|Y|
841613|导入客户信息删除|wj|1|Y|
841614|导入客户信息审核|wj|1|Y|
841700|万欣对接名单接口lx|1|Y|
842001|部门信息增加|wj|1|Y|
842002|部门信息删除|wj|1|Y|
842003|部门信息修改|wj|1|Y|
842004|部门信息主键查询|wj|1|Y|
842005|部门信息非主键查询|hxz|1|Y|
842501|专业信息增加|wj|1|Y|
842502|专业信息删除|wj|1|Y|
842503|专业信息修改|wj|1|Y|
842504|专业信息主键查询|wj|1|Y|
842505|专业信息非主键查询|hxz|1|Y|
843335|商户信息增加|wj|1|Y|
843336|商户信息删除|wj|1|Y|
843337|商户信息修改|wj|1|Y|
843338|商户信息主键查询|wj|1|Y|
843339|商户信息非主键查询|wj|1|Y|
843340|餐次设置|wj|1|Y|
843341|商户餐次绑定|wj|1|Y|
843342|商户佣金设置|wj|1|Y|
843343|商户佣金设置|wj|1|Y|
843350|充值商户开户|wj|1|Y|
843351|充值商户存款|wj|1|Y|
843352|充值商户销户|wj|1|Y|
843353|充值商户信息查询|wj|1|Y|
843354|充值商户信息修改|wj|1|Y|
843355|充值商户设备添加|wj|1|Y|
843356|充值商户设备删除|wj|1|Y|
843357|充值商户设备信息查询|wj|1|Y|
843358|充值操作员添加|wj|1|Y|
