--- BULinkThread Status at 163834 (TickCount=3740911441)---
00(WAITREQ) QNO1105709 GID(GMDB1      ) LT[02:00:06] LF167 LRT930031  LST0          
01(WAITREQ) QNO100602 GID(GMDB1      ) LT[02:00:06] LF105 LRT930098  LST0          
02(WAITREQ) QNO5032  GID(GMDB1      ) LT[02:00:06] LF 71 LRT930031  LST0          
03(WAITREQ) QNO404   GID(GMDB1      ) LT[02:00:06] LF 53 LRT930099  LST0          
04(WAITREQ) QNO259   GID(GMDB1      ) LT[02:00:06] LF 50 LRT930098  LST0          
05(WAITREQ) QNO163   GID(GMDB1      ) LT[02:00:06] LF 34 LRT930098  LST0          
06(WAITREQ) QNO19    GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
07(WAITREQ) QNO7     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
08(WAITREQ) QNO6     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
09(WAITREQ) QNO5     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
10(WAITREQ) QNO5     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          
11(NOTREADY) QNO5    
12(WAITREQ) QNO4     GID(GMDB1      ) LT[01:09:15] LF 10 LRT0       LST0          
13(WAITREQ) QNO3     GID(GMDB1      ) LT[01:12:38] LF 10 LRT0       LST0          
14(WAITREQ) QNO2     GID(GMDB1      ) LT[01:19:49] LF 10 LRT0       LST0          
15(WAITREQ) QNO2     GID(GMDB1      ) LT[02:00:06] LF 10 LRT0       LST0          

Function Status at 163834 (TickCount=3740911441)---
funcno|class|active|success|failure|           time| t_max| t_min|Description       | Programmer   
240157|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
700000|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
700001|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
700002|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
800000|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
800001|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
800202|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
800203|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
800701|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
800703|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
800704|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
800742|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
800751|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
800761|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
800772|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
800782|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
800783|    1|     Y|      0|      0|              0|     0|     0|xxx|wj
820001|    1|     Y|      0|      0|              0|     0|     0|子系统注册|hxz
820002|    1|     Y|      0|      0|              0|     0|     0|子系统修改|hxz
820003|    1|     Y|      0|      0|              0|     0|     0|子系统删除|hxz
820004|    1|     Y|      0|      0|              0|     0|     0|子系统关键字查询|hxz
820005|    1|     Y|      0|      0|              0|     0|     0|子系统非关键字查询|hxz
820101|    1|     Y|      0|      0|              0|     0|     0|设备注册|hxz
820102|    1|     Y|      4|      0|             81|    38|     7|设备修改|hxz
820103|    1|     Y|      0|      0|              0|     0|     0|设备删除|hxz
820104|    1|     Y|      0|      0|              0|     0|     0|设备关键字查询|hxz
820105|    1|     Y|     19|      1|            744|    62|     6|设备非关键字查询|hxz
820106|    1|     Y|      0|      0|              0|     0|     0|设备非关键字查询|hxz
820108|    1|     Y|      2|      0|             85|    71|    14|设备非关键字查询|hxz
820111|    1|     Y|      0|      0|              0|     0|     0|区域表注册|hxz
820112|    1|     Y|      0|      0|              0|     0|     0|区域表修改|hxz
820113|    1|     Y|      0|      0|              0|     0|     0|区域表删除|hxz
820114|    1|     Y|      1|      0|             18|    18|    18|区域表关键字查询|hxz
820121|    1|     Y|      0|      0|              0|     0|     0|设备物理信息表注册|hxz
820122|    1|     Y|      0|      0|              0|     0|     0|设备物理信息表修改|hxz
820123|    1|     Y|      0|      0|              0|     0|     0|设备物理信息表删除|hxz
820124|    1|     Y|      0|      0|              0|     0|     0|设备物理信息表关键字查询|hxz
820131|    1|     Y|      0|      0|              0|     0|     0|卡物理结构信息表注册|hxz
820132|    1|     Y|      0|      0|              0|     0|     0|卡物理结构信息表修改|hxz
820133|    1|     Y|      0|      0|              0|     0|     0|卡物理结构信息表删除|hxz
820134|    1|     Y|      0|      0|              0|     0|     0|卡物理结构信息表关键字查询|hxz
820141|    1|     Y|      0|      0|              0|     0|     0|卡物理结构信息表注册|hxz
820142|    1|     Y|      0|      0|              0|     0|     0|卡物理结构信息表修改|hxz
820143|    1|     Y|      0|      0|              0|     0|     0|卡物理结构信息表删除|hxz
820144|    1|     Y|      0|      0|              0|     0|     0|卡物理结构信息表关键字查询|hxz
820151|    1|     Y|      0|      0|              0|     0|     0|卡物理结构信息表注册|hxz
820152|    1|     Y|      0|      0|              0|     0|     0|卡物理结构信息表修改|hxz
820153|    1|     Y|      0|      0|              0|     0|     0|卡物理结构信息表删除|hxz
820154|    1|     Y|      0|      0|              0|     0|     0|卡物理结构信息表关键字查询|hxz
820301|    1|     Y|      0|      0|              0|     0|     0|操作员增删改|hxz
820302|    1|     Y|      0|      0|              0|     0|     0|操作员查询|hxz
